SEQFID	Dynamic_Annotation	Static_Annotation	HMT_ID	Genus	Species	Strain	Contigs	Size_bp
SEQF1910	HOMD	NCBI	HMT-709	Lactobacillus	oris	PB013-T2-3	89	2,115,990
SEQF1911		NCBI	HMT-588	Bifidobacterium	dentium	JCVIHMP022	35	2,636,584
SEQF1912	HOMD	NCBI	HMT-377	Peptostreptococcaceae [XI][G-7]	[Eubacterium] yurii subsps. yurii &amp; margaretiae	ATCC 43715	85	2,470,055
SEQF1913	HOMD	NCBI	HMT-071	Streptococcus	oralis subsp. tigurinus clade 071	73H25AP, F0408	20	1,960,470
SEQF1914	HOMD	NCBI	HMT-149	Selenomonas	sp. HMT 149	67H29BP, F0410	56	2,429,414
SEQF1915	HOMD	NCBI	HMT-665	Prevotella	marshii	DSM 16973	79	2,517,013
SEQF1916	HOMD	NCBI	HMT-669	Neisseria	meningitidis	ATCC 13091	147	2,159,280
SEQF1917	HOMD	NCBI	HMT-707	Streptococcus	oralis subsp. oralis	ATCC 35037, SK23, NCTC11427	25	1,884,712
SEQF1918	HOMD	NCBI	HMT-524	Veillonella	atypica	ACS-134-V-Col7a	70	2,151,913
SEQF1919	HOMD	NCBI	HMT-721	Streptococcus	parasanguinis clade 721	ATCC 15912	1	2,153,652
SEQF1920	HOMD	NCBI	HMT-614	Lysinibacillus	fusiformis	ZC1	103	4,646,825
SEQF1921	HOMD	NCBI	HMT-542	Peptostreptococcus	anaerobius	653-L	73	2,083,092
SEQF1922	HOMD		HMT-816	Lactobacillus	coleohominis	101-4-CHN	35	1,704,805
SEQF1924	HOMD	NCBI	HMT-638	Streptococcus	infantis clade 638	ATCC BAA-102	22	1,925,087
SEQF1925	HOMD	NCBI	HMT-587	Rothia	dentocariosa	ATCC 17931	1	2,506,025
SEQF1926	HOMD	NCBI	HMT-343	Achromobacter	xylosoxidans	A8	3	7,359,146
SEQF1927	HOMD	NCBI	HMT-655	Eubacterium	limosum	KIST612	1	4,276,902
SEQF1928	HOMD	NCBI	HMT-607	Mycoplasma	fermentans	JER	1	977,524
SEQF1929	HOMD	NCBI	HMT-734	Streptococcus	pneumoniae	AP200	1	2,130,580
SEQF1930	HOMD	NCBI	HMT-817	Lactobacillus	crispatus	ST1	1	2,043,161
SEQF1932		NCBI	HMT-307	Prevotella	salivae	F0493	32	3,099,908
SEQF1933	HOMD	NCBI	HMT-806	Olsenella	profusa	F0195	73	2,724,935
SEQF1934		NCBI	HMT-553	Prevotella	baroniae	F0067	44	3,024,338
SEQF1935	HOMD	NCBI	HMT-303	Prevotella	pleuritidis	F0068	51	2,709,958
SEQF1936	HOMD	NCBI	HMT-283	Porphyromonas	catoniae	F0037	42	2,105,832
SEQF1937	HOMD	NCBI	HMT-332	Capnocytophaga	sp. HMT 332	F0381	241	2,653,799
SEQF1938	HOMD	NCBI	HMT-324	Capnocytophaga	sp. HMT 324	F0483	157	2,739,785
SEQF1939		NCBI	HMT-524	Veillonella	atypica	KON, ATCC 17744	68	2,001,713
SEQF1940	HOMD	NCBI	HMT-667	Treponema	medium	ATCC 700293	19	2,715,791
SEQF1941	HOMD	NCBI	HMT-664	Treponema	maltophilum	ATCC 51939	6	2,527,074
SEQF1942	HOMD	NCBI	HMT-769	Treponema	socranskii	ATCC 35535	16	2,731,774
SEQF1944	HOMD	NCBI	HMT-020	Neisseria	sp. HMT 020	F0370	220	2,360,056
SEQF1946	HOMD	NCBI	HMT-781	Prevotella	saccharolytica	F0055	162	2,855,700
SEQF1947		NCBI	HMT-029	Treponema	vincentii	F0403/N9	13	2,678,100
SEQF1948	HOMD	NCBI	HMT-181	Actinomyces	lingnae [Not Validly Published]	F0379	29	1,905,675
SEQF1949	HOMD	NCBI	HMT-199	Atopobium	sp. HMT 199	F0494	5	1,660,282
SEQF1950	HOMD	NCBI	HMT-380	Capnocytophaga	sp. HMT 380	F0488	197	2,635,773
SEQF1951	HOMD	NCBI	HMT-138	Selenomonas	sp. HMT 138	F0429	110	2,385,683
SEQF1952	HOMD	NCBI	HMT-862	Bifidobacterium	longum	subsp. longum ATCC 55813	51	2,351,941
SEQF1953		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	ANH9381	1	2,136,808
SEQF1954	HOMD	NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	D17P-2	55	2,162,657
SEQF1955		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	D17P-3	338	2,402,744
SEQF1956		NCBI	HMT-545	Aggregatibacter	aphrophilus	ATCC 33389	48	2,267,033
SEQF1957	HOMD	NCBI	HMT-762	Aggregatibacter	segnis	ATCC 33393	19	1,992,124
SEQF1958	HOMD	NCBI	HMT-726	Centipeda	periodontii	DSM 2778	72	2,716,458
SEQF1959	HOMD	NCBI	HMT-843	Dialister	micraerophilus	DSM 19965	32	1,256,198
SEQF1960	HOMD	NCBI	HMT-634	Enterobacter	hormaechei	ATCC 49162	84	4,806,970
SEQF1961		NCBI	HMT-801	Enterococcus	casseliflavus	ATCC 12755	58	3,554,837
SEQF1963	HOMD	NCBI	HMT-535	Haemophilus	aegyptius	ATCC 11116	65	1,915,025
SEQF1964		NCBI	HMT-608	Lactobacillus	fermentum	CECT 5716	1	2,100,449
SEQF1965		NCBI	HMT-861	Lactobacillus	plantarum	WCFS1	4	3,348,624
SEQF1966		NCBI	HMT-756	Lactobacillus	salivarius	CECT 5713	4	2,136,138
SEQF1967	HOMD	NCBI	HMT-022	Lautropia	mirabilis	ATCC 51599	30	3,137,198
SEQF1968		NCBI	HMT-833	Moraxella	catarrhalis	46P47B1	69	1,856,042
SEQF1969	HOMD	NCBI	HMT-013	Neisseria	bacilliformis	ATCC BAA-1200	69	2,434,769
SEQF1970	HOMD	NCBI	HMT-336	Capnocytophaga	sp. HMT 336	F0502	29	2,782,789
SEQF1971	HOMD	NCBI	HMT-186	Microbacterium	flavescens	F0373	13	3,164,554
SEQF1972	HOMD	NCBI	HMT-192	Propionibacteriaceae [G-2]	bacterium HMT 192	F0372	15	2,704,051
SEQF1974	HOMD	NCBI	HMT-840	Peptoniphilus	indolicus	ATCC 29427	302	2,101,630
SEQF1975		NCBI	HMT-619	Porphyromonas	gingivalis	TDC60	1	2,339,898
SEQF1976	HOMD	NCBI	HMT-853	Corynebacterium	urealyticum	DSM 7109	1	2,369,219
SEQF1977	HOMD	NCBI	HMT-854	Ralstonia	pickettii	12D	5	5,685,358
SEQF1978	HOMD	NCBI	HMT-855	Kytococcus	sedentarius	DSM 20547	1	2,785,024
SEQF1979	HOMD	NCBI	HMT-856	Sanguibacter	keddieii	DSM 10542	1	4,253,413
SEQF1980	HOMD	NCBI	HMT-857	Rhodobacter	capsulatus	SB 1003	2	3,871,920
SEQF1981	HOMD	NCBI	HMT-858	Comamonas	testosteroni	KF-1	1	6,026,527
SEQF1982	HOMD	NCBI	HMT-859	Anaerococcus	lactolyticus	ATCC 51172	105	2,137,699
SEQF1983	HOMD		HMT-860	Fusobacterium	gonidiaformans	ATCC 25563	55	1,679,672
SEQF1984	HOMD	NCBI	HMT-861	Lactobacillus	plantarum	subsp. plantarum ATCC 14917	36	3,198,761
SEQF1985		NCBI	HMT-560	Prevotella	buccae	ATCC 33574	69	3,222,824
SEQF1986	HOMD	NCBI	HMT-685	Prevotella	multiformis	DSM 16608	71	3,034,360
SEQF1987	HOMD		HMT-794	Prevotella	multisaccharivorax	DSM 17128	25	3,387,544
SEQF1988	HOMD	NCBI	HMT-705	Prevotella	oralis	ATCC 33269	6	2,833,787
SEQF1989	HOMD	NCBI	HMT-714	Prevotella	pallens	ATCC 700821	168	3,047,417
SEQF1990	HOMD	NCBI	HMT-552	Cutibacterium	avidum	ATCC 25577	24	2,533,496
SEQF1991		NCBI	HMT-536	Pseudomonas	aeruginosa	138244	381	6,344,409
SEQF1992		NCBI	HMT-536	Pseudomonas	aeruginosa	HB15	389	6,813,259
SEQF1993	HOMD	NCBI	HMT-538	Pseudoramibacter	alactolyticus	ATCC 23263	75	2,327,229
SEQF1994	HOMD		HMT-587	Rothia	dentocariosa	M567	26	2,522,580
SEQF1995		NCBI	HMT-537	Streptococcus	agalactiae	ATCC 13813	134	2,114,958
SEQF1996	HOMD	NCBI	HMT-543	Streptococcus	anginosus	SK52	109	1,892,386
SEQF1997	HOMD	NCBI	HMT-578	Streptococcus	cristatus clade 578	ATCC 51100	31	1,965,284
SEQF1998	HOMD	NCBI	HMT-707	Streptococcus	oralis subsp. oralis	ATCC 6249	20	1,897,538
SEQF1999	HOMD	NCBI	HMT-398	Streptococcus	oralis subsp. dentisani clade 398	SK95	66	2,020,730
SEQF2000	HOMD	NCBI	HMT-728	Streptococcus	peroris	ATCC 700780	17	1,633,292
SEQF2001		NCBI	HMT-677	Streptococcus	mitis	SK321	40	1,873,702
SEQF2002		NCBI	HMT-677	Streptococcus	mitis	SK564	35	2,026,898
SEQF2003		NCBI	HMT-677	Streptococcus	mitis	SK597	108	2,029,198
SEQF2004		NCBI	HMT-021	Streptococcus	vestibularis	ATCC 49124	102	1,841,650
SEQF2005	HOMD	NCBI	HMT-707	Streptococcus	oralis subsp. oralis	Uo5	1	1,958,690
SEQF2006		NCBI	HMT-755	Streptococcus	salivarius	57.I	1	2,138,805
SEQF2007		NCBI	HMT-721	Streptococcus	parasanguinis clade 721	SK236	18	1,988,691
SEQF2008		NCBI	HMT-758	Streptococcus	sanguinis	ATCC 29667	34	2,427,335
SEQF2009		NCBI	HMT-758	Streptococcus	sanguinis	ATCC 49296	20	2,054,852
SEQF2010		NCBI	HMT-758	Streptococcus	sanguinis	SK115	14	2,335,382
SEQF2011		NCBI	HMT-758	Streptococcus	sanguinis	SK150	27	2,314,805
SEQF2012		NCBI	HMT-758	Streptococcus	sanguinis	SK160	15	2,326,340
SEQF2013		NCBI	HMT-758	Streptococcus	sanguinis	SK330	21	2,413,897
SEQF2014		NCBI	HMT-758	Streptococcus	sanguinis	SK340	14	2,397,186
SEQF2015		NCBI	HMT-758	Streptococcus	sanguinis	SK353	17	2,294,453
SEQF2016		NCBI	HMT-758	Streptococcus	sanguinis	SK355	37	2,353,231
SEQF2017		NCBI	HMT-758	Streptococcus	sanguinis	SK49	21	2,260,082
SEQF2018		NCBI	HMT-758	Streptococcus	sanguinis	SK72	21	2,364,553
SEQF2019	HOMD	NCBI	HMT-803	Enterococcus	italicus	DSM 15952	157	2,308,476
SEQF2020	HOMD	NCBI	HMT-073	Streptococcus	australis	ATCC 700641	27	2,110,220
SEQF2021	HOMD	NCBI	HMT-586	Parascardovia	denticolens	DSM 10105	2	1,891,248
SEQF2022	HOMD	NCBI	HMT-583	Prevotella	dentalis	DSM 3688	73	3,240,350
SEQF2023		NCBI	HMT-707	Streptococcus	oralis subsp. oralis	ATCC 35037	28	1,905,531
SEQF2029		NCBI	HMT-343	Achromobacter	xylosoxidans	AXX-A	160	6,707,795
SEQF2030		NCBI	HMT-343	Achromobacter	xylosoxidans	C54	728	6,294,609
SEQF2031	HOMD	NCBI	HMT-866	Actinomyces	graevenitzii	C83	25	2,196,917
SEQF2032		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	serotype a str. H5P1	344	2,162,467
SEQF2033		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	serotype b str. I23C	457	2,039,898
SEQF2034		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC1398	103	2,042,250
SEQF2035		NCBI	HMT-485	Agrobacterium	tumefaciens	F2	8	5,465,705
SEQF2036		NCBI	HMT-738	Anaerococcus	prevotii	ACS-065-V-Col13	35	1,697,099
SEQF2037		NCBI	HMT-814	Atopobium	vaginae	PB189-T1-4	34	1,449,613
SEQF2039		NCBI	HMT-468	Bacillus	subtilis	subsp. natto BEST195	2	4,097,429
SEQF2040		NCBI	HMT-862	Bifidobacterium	longum	NCC2705	2	2,260,266
SEQF2041		NCBI	HMT-862	Bifidobacterium	longum	subsp. infantis 157F	3	2,408,831
SEQF2042		NCBI	HMT-862	Bifidobacterium	longum	subsp. longum BBMN68	1	2,265,943
SEQF2043		NCBI	HMT-862	Bifidobacterium	longum	subsp. longum F8	1	2,384,987
SEQF2044		NCBI	HMT-862	Bifidobacterium	longum	subsp. longum JCM 1217	1	2,385,164
SEQF2045		NCBI	HMT-862	Bifidobacterium	longum	subsp. longum JDM301	1	2,477,838
SEQF2046		NCBI	HMT-862	Bifidobacterium	longum	subsp. longum KACC 91563	3	2,395,764
SEQF2047		NCBI	HMT-858	Comamonas	testosteroni	CNB-2	2	5,464,824
SEQF2048		NCBI	HMT-591	Corynebacterium	diphtheriae	241	1	2,426,551
SEQF2049		NCBI	HMT-829	Gardnerella	vaginalis	HMP9231	1	1,726,519
SEQF2050		NCBI	HMT-641	Haemophilus	influenzae	F3031	1	1,985,832
SEQF2051		NCBI	HMT-641	Haemophilus	influenzae	F3047	1	2,007,018
SEQF2052		NCBI	HMT-641	Haemophilus	influenzae	Rd KW20	1	1,830,138
SEQF2053		NCBI	HMT-588	Bifidobacterium	dentium	ATCC 27679	24	2,633,776
SEQF2056	HOMD		HMT-590	Brevundimonas	diminuta	ATCC 11568	302	3,240,481
SEQF2057		NCBI	HMT-858	Comamonas	testosteroni	ATCC 11996	63	5,410,155
SEQF2058		NCBI	HMT-858	Comamonas	testosteroni	S44	112	5,534,155
SEQF2059	HOMD	NCBI	HMT-813	Dolosigranulum	pigrum	ATCC 51524	16	1,846,028
SEQF2060	HOMD	NCBI	HMT-802	Enterococcus	saccharolyticus	30_1	61	3,119,200
SEQF2061		NCBI	HMT-662	Finegoldia	magna	ACS-171-V-Col3	30	1,828,755
SEQF2062	HOMD	NCBI	HMT-662	Finegoldia	magna	BVS033A4	50	1,995,204
SEQF2063		NCBI	HMT-662	Finegoldia	magna	SY403409CC001050417	39	2,032,717
SEQF2064	HOMD	NCBI	HMT-690	Fusobacterium	necrophorum	subsp. funduliforme 1_1_36S	40	2,300,852
SEQF2065		NCBI	HMT-420	Fusobacterium	nucleatum subsp. animalis	ATCC 51191	763	2,270,170
SEQF2067		NCBI	HMT-698	Fusobacterium	nucleatum subsp. nucleatum	ATCC 23726	67	2,237,034
SEQF2068		NCBI	HMT-829	Gardnerella	vaginalis	AMD	117	1,606,758
SEQF2070	HOMD	NCBI	HMT-626	Gemella	haemolysans	M341	71	2,034,879
SEQF2071	HOMD	NCBI	HMT-757	Gemella	sanguinis	M325	78	1,768,070
SEQF2072		NCBI	HMT-851	Haemophilus	haemolyticus	M19107	123	1,915,087
SEQF2073		NCBI	HMT-851	Haemophilus	haemolyticus	M19501	22	1,884,911
SEQF2074		NCBI	HMT-851	Haemophilus	haemolyticus	M21127	38	1,945,624
SEQF2075		NCBI	HMT-851	Haemophilus	haemolyticus	M21621	28	2,089,205
SEQF2076	HOMD	NCBI	HMT-851	Haemophilus	haemolyticus	M21639	53	2,328,161
SEQF2077	HOMD	NCBI	HMT-718	Haemophilus	parainfluenzae	ATCC 33392	30	2,110,314
SEQF2078	HOMD		HMT-777	Jonquetella	anthropi	DSM 22815	4	1,675,634
SEQF2079	HOMD	NCBI	HMT-582	Kingella	denitrificans	ATCC 33394	57	2,186,592
SEQF2080	HOMD	NCBI	HMT-646	Kingella	kingae	ATCC 23330	86	1,916,770
SEQF2084		NCBI	HMT-817	Lactobacillus	crispatus	214-1	187	2,068,805
SEQF2090		NCBI	HMT-838	Lactobacillus	iners	ATCC 55195	19	1,219,250
SEQF2091		NCBI	HMT-838	Lactobacillus	iners	LactinV 01V1-a	92	1,294,173
SEQF2092		NCBI	HMT-838	Lactobacillus	iners	LactinV 03V1-b	67	1,303,958
SEQF2093		NCBI	HMT-838	Lactobacillus	iners	LactinV 09V1-c	35	1,312,334
SEQF2094		NCBI	HMT-838	Lactobacillus	iners	LactinV 11V1-d	27	1,310,250
SEQF2095		NCBI	HMT-838	Lactobacillus	iners	LEAF 2052A-d	28	1,322,320
SEQF2096		NCBI	HMT-838	Lactobacillus	iners	LEAF 2053A-b	37	1,368,717
SEQF2097		NCBI	HMT-838	Lactobacillus	iners	LEAF 2062A-h1	24	1,303,868
SEQF2098		NCBI	HMT-838	Lactobacillus	iners	LEAF 3008A-a	25	1,273,041
SEQF2099		NCBI	HMT-838	Lactobacillus	iners	SPIN 1401G	52	1,281,027
SEQF2100		NCBI	HMT-838	Lactobacillus	iners	SPIN 2503V10-D	31	1,283,897
SEQF2101		NCBI	HMT-838	Lactobacillus	iners	UPII 143-D	21	1,257,583
SEQF2102		NCBI	HMT-838	Lactobacillus	iners	UPII 60-B	31	1,323,615
SEQF2103		NCBI	HMT-819	Lactobacillus	johnsonii	pf01	5	1,882,804
SEQF2104		NCBI	HMT-861	Lactobacillus	plantarum	subsp. plantarum NC8	10	3,207,224
SEQF2106		NCBI	HMT-731	Klebsiella	pneumoniae	KCTC 2242	2	5,462,423
SEQF2107		NCBI	HMT-731	Klebsiella	pneumoniae	subsp. pneumoniae HS11286	7	5,682,322
SEQF2108		NCBI	HMT-529	Lactobacillus	acidophilus	30SC	3	2,097,766
SEQF2109		NCBI	HMT-568	Lactobacillus	casei	BD-II	2	3,127,288
SEQF2110		NCBI	HMT-568	Lactobacillus	casei	LC2W	2	3,077,434
SEQF2111		NCBI	HMT-819	Lactobacillus	johnsonii	DPC 6026	1	1,966,342
SEQF2112		NCBI	HMT-861	Lactobacillus	plantarum	JDM1	1	3,197,759
SEQF2113	HOMD	NCBI	HMT-861	Lactobacillus	plantarum	subsp. plantarum ST-III	2	3,307,936
SEQF2114		NCBI	HMT-749	Lactobacillus	rhamnosus	ATCC 8530	1	2,960,339
SEQF2117		NCBI	HMT-749	Lactobacillus	rhamnosus	ATCC 21052	123	2,873,519
SEQF2118		NCBI	HMT-749	Lactobacillus	rhamnosus	MTCC 5462	2,543	2,524,513
SEQF2119		NCBI	HMT-749	Lactobacillus	rhamnosus	R0011	10	2,900,620
SEQF2120		NCBI	HMT-756	Lactobacillus	salivarius	ACS-116-V-Col5a	154	2,044,602
SEQF2121		NCBI	HMT-756	Lactobacillus	salivarius	GJ-24	11	1,995,968
SEQF2122		NCBI	HMT-756	Lactobacillus	salivarius	NIAS840	4	2,046,557
SEQF2123		NCBI	HMT-825	Listeria	monocytogenes	FSL F2-208	3,081	2,915,076
SEQF2124		NCBI	HMT-825	Listeria	monocytogenes	J1-220	86	2,814,628
SEQF2125		NCBI	HMT-825	Listeria	monocytogenes	J1816	61	2,912,122
SEQF2127		NCBI	HMT-830	Mobiluncus	mulieris	ATCC 35239	66	2,464,242
SEQF2128		NCBI	HMT-830	Mobiluncus	mulieris	FB024-16	46	2,384,880
SEQF2129		NCBI	HMT-833	Moraxella	catarrhalis	12P80B1	53	1,814,430
SEQF2130		NCBI	HMT-833	Moraxella	catarrhalis	101P30B1	26	1,866,092
SEQF2131		NCBI	HMT-833	Moraxella	catarrhalis	103P14B1	99	1,961,697
SEQF2132		NCBI	HMT-833	Moraxella	catarrhalis	7169	35	1,903,901
SEQF2133		NCBI	HMT-833	Moraxella	catarrhalis	BC1	43	1,954,090
SEQF2134		NCBI	HMT-833	Moraxella	catarrhalis	BC7	37	1,904,293
SEQF2135		NCBI	HMT-833	Moraxella	catarrhalis	BC8	32	1,912,542
SEQF2136		NCBI	HMT-833	Moraxella	catarrhalis	CO72	25	1,947,635
SEQF2137		NCBI	HMT-833	Moraxella	catarrhalis	O35E	42	1,776,416
SEQF2141		NCBI	HMT-649	Neisseria	lactamica	Y92-1009	44	2,023,964
SEQF2142		NCBI	HMT-682	Neisseria	mucosa	C102	23	2,160,730
SEQF2145	HOMD	NCBI	HMT-547	Porphyromonas	asaccharolytica	PR426713P-I	58	2,199,119
SEQF2146		NCBI	HMT-291	Prevotella	denticola	CRIS 18C-A	121	3,177,783
SEQF2147	HOMD	NCBI	HMT-289	Prevotella	maculosa	OT 289, F0099	54	3,134,147
SEQF2149	HOMD	NCBI	HMT-307	Prevotella	salivae	DSM 15606	258	3,140,543
SEQF2150		NCBI	HMT-804	Lactococcus	lactis	A76	5	2,577,104
SEQF2151		NCBI	HMT-804	Lactococcus	lactis	NZ9000	1	2,530,294
SEQF2152		NCBI	HMT-804	Lactococcus	lactis	CV56	6	2,518,737
SEQF2153		NCBI	HMT-825	Listeria	monocytogenes	EGD-e	1	2,944,528
SEQF2154		NCBI	HMT-825	Listeria	monocytogenes	M7	1	2,976,163
SEQF2155		NCBI	HMT-825	Listeria	monocytogenes	serotype 4a str. L99	1	2,979,198
SEQF2156		NCBI	HMT-732	Mycoplasma	pneumoniae	309	1	817,176
SEQF2157		NCBI	HMT-732	Mycoplasma	pneumoniae	FH	1	811,088
SEQF2159	HOMD	NCBI	HMT-649	Neisseria	lactamica	020-06	1	2,220,606
SEQF2160	HOMD	NCBI	HMT-547	Porphyromonas	asaccharolytica	DSM 20707	1	2,186,370
SEQF2161		NCBI	HMT-530	Cutibacterium	acnes	266	1	2,494,578
SEQF2162		NCBI	HMT-530	Cutibacterium	acnes	6609	1	2,560,282
SEQF2163		NCBI	HMT-530	Cutibacterium	acnes	ATCC 11828	1	2,488,626
SEQF2164		NCBI	HMT-530	Cutibacterium	acnes	TypeIA2 P.acn17	1	2,522,885
SEQF2165		NCBI	HMT-530	Cutibacterium	acnes	TypeIA2 P.acn31	1	2,498,766
SEQF2166		NCBI	HMT-530	Cutibacterium	acnes	TypeIA2 P.acn33	1	2,489,623
SEQF2167		NCBI	HMT-536	Pseudomonas	aeruginosa	M18	1	6,327,754
SEQF2168		NCBI	HMT-536	Pseudomonas	aeruginosa	NCGM2.S1	1	6,764,661
SEQF2169		NCBI	HMT-612	Pseudomonas	fluorescens	F113	1	6,845,832
SEQF2170		NCBI	HMT-477	Pseudomonas	stutzeri	ATCC 17588 = LMG 11199	1	4,547,930
SEQF2171		NCBI	HMT-477	Pseudomonas	stutzeri	DSM 4166	1	4,689,946
SEQF2172		NCBI	HMT-854	Ralstonia	pickettii	12J	3	5,325,729
SEQF2173		NCBI	HMT-550	Staphylococcus	aureus	04-02981	1	2,821,452
SEQF2174		NCBI	HMT-663	Stenotrophomonas	maltophilia	JV3	1	4,544,477
SEQF2181		NCBI	HMT-745	Streptococcus	pyogenes	Alab49	1	1,827,308
SEQF2182		NCBI	HMT-805	Treponema	pallidum	subsp. pallidum str. Chicago	1	1,139,281
SEQF2183		NCBI	HMT-717	Variovorax	paradoxus	EPS	1	6,550,056
SEQF2184		NCBI	HMT-827	Yersinia	pestis	A1122	3	4,658,411
SEQF2185		NCBI	HMT-827	Yersinia	pestis	D106004	4	4,812,922
SEQF2186		NCBI	HMT-827	Yersinia	pestis	D182038	4	4,802,263
SEQF2188		NCBI	HMT-827	Yersinia	pestis	Z176003	4	4,725,788
SEQF2189		NCBI	HMT-530	Cutibacterium	acnes	J165	62	2,500,083
SEQF2190		NCBI	HMT-530	Cutibacterium	acnes	SK182	14	2,477,348
SEQF2191		NCBI	HMT-530	Cutibacterium	acnes	SK182B-JCVI	50	2,430,672
SEQF2192		NCBI	HMT-530	Cutibacterium	acnes	SK187	37	2,510,934
SEQF2193		NCBI	HMT-536	Pseudomonas	aeruginosa	39016	349	6,667,333
SEQF2196		NCBI	HMT-612	Pseudomonas	fluorescens	WH6	53	6,265,667
SEQF2197		NCBI	HMT-681	Rothia	mucilaginosa	M508	18	2,310,168
SEQF2199		NCBI	HMT-550	Staphylococcus	aureus	A8796	98	2,968,236
SEQF2200		NCBI	HMT-550	Staphylococcus	aureus	A8819	48	2,916,471
SEQF2201		NCBI	HMT-550	Staphylococcus	aureus	A9754	59	2,930,317
SEQF2202		NCBI	HMT-550	Staphylococcus	aureus	O11	87	2,770,352
SEQF2203		NCBI	HMT-550	Staphylococcus	aureus	O46	96	2,811,260
SEQF2204	HOMD		HMT-567	Staphylococcus	caprae	C87	46	2,460,970
SEQF2205		NCBI	HMT-601	Staphylococcus	epidermidis	14.1.R1.SE	131	2,555,725
SEQF2206		NCBI	HMT-601	Staphylococcus	epidermidis	FRI909	56	2,541,845
SEQF2207		NCBI	HMT-601	Staphylococcus	epidermidis	M23864:W2(grey)	67	2,486,756
SEQF2208		NCBI	HMT-076	Staphylococcus	warneri	VCU121	183	2,459,386
SEQF2209		NCBI	HMT-537	Streptococcus	agalactiae	FSL S3-026	8	2,455,848
SEQF2210		NCBI	HMT-543	Streptococcus	anginosus	1_2_62CV	18	1,815,537
SEQF2211	HOMD	NCBI	HMT-576	Streptococcus	constellatus	subsp. pharyngis SK1060	9	1,963,555
SEQF2212		NCBI	HMT-638	Streptococcus	infantis clade 638	ATCC 700779	31	1,884,302
SEQF2213		NCBI	HMT-638	Streptococcus	infantis clade 638	SK1076	30	1,744,061
SEQF2214		NCBI	HMT-638	Streptococcus	infantis clade 638	SK1302	148	1,792,252
SEQF2215		NCBI	HMT-638	Streptococcus	infantis clade 638	SK970	9	1,945,605
SEQF2216	HOMD	NCBI	HMT-638	Streptococcus	infantis clade 638	X	16	1,869,505
SEQF2217		NCBI	HMT-677	Streptococcus	mitis	SK1073	54	2,114,708
SEQF2218		NCBI	HMT-677	Streptococcus	mitis	SK1080	34	1,943,752
SEQF2219		NCBI	HMT-677	Streptococcus	mitis	SK569	54	1,975,266
SEQF2220		NCBI	HMT-707	Streptococcus	oralis subsp. oralis	SK255	63	2,005,180
SEQF2221		NCBI	HMT-707	Streptococcus	oralis subsp. oralis	SK313	5	1,888,813
SEQF2222		NCBI	HMT-721	Streptococcus	parasanguinis clade 721	ATCC 903	84	2,116,147
SEQF2226		NCBI	HMT-734	Streptococcus	pneumoniae	BS455	113	2,084,124
SEQF2227		NCBI	HMT-734	Streptococcus	pneumoniae	GA04375	9	2,061,399
SEQF2228		NCBI	HMT-734	Streptococcus	pneumoniae	GA17545	11	2,103,456
SEQF2229		NCBI	HMT-734	Streptococcus	pneumoniae	GA17570	9	2,119,821
SEQF2230		NCBI	HMT-734	Streptococcus	pneumoniae	GA41301	17	2,156,995
SEQF2231		NCBI	HMT-734	Streptococcus	pneumoniae	GA41317	6	2,090,801
SEQF2232		NCBI	HMT-734	Streptococcus	pneumoniae	GA47368	8	2,177,227
SEQF2233		NCBI	HMT-734	Streptococcus	pneumoniae	GA47901	6	2,086,317
SEQF2241		NCBI	HMT-734	Streptococcus	pneumoniae	SPNA45	1	2,129,934
SEQF2242		NCBI	HMT-745	Streptococcus	pyogenes	ATCC 10782	90	1,839,847
SEQF2243		NCBI	HMT-524	Veillonella	atypica	ACS-049-V-Sch6	63	2,053,871
SEQF2244		NCBI	HMT-161	Veillonella	parvula	ACS-068-V-Sch12	23	2,152,140
SEQF2247	HOMD		HMT-768	Streptococcus	sobrinus	TCI-107	269	2,133,456
SEQF2248		NCBI	HMT-862	Bifidobacterium	longum	DJO10A	3	2,389,526
SEQF2249	HOMD	NCBI	HMT-862	Bifidobacterium	longum	subsp. infantis ATCC 15697	1	2,832,748
SEQF2250		NCBI	HMT-531	Aggregatibacter	actinomycetemcomitans	serotype d str. I63B	187	2,180,415
SEQF2266		NCBI	HMT-828	Bordetella	pertussis	CS	1	4,124,236
SEQF2267		NCBI	HMT-591	Corynebacterium	diphtheriae	31A	1	2,535,346
SEQF2268		NCBI	HMT-591	Corynebacterium	diphtheriae	BH8	1	2,485,519
SEQF2269		NCBI	HMT-591	Corynebacterium	diphtheriae	C7 (beta)	1	2,499,189
SEQF2270		NCBI	HMT-591	Corynebacterium	diphtheriae	CDCE 8392	1	2,433,326
SEQF2271		NCBI	HMT-591	Corynebacterium	diphtheriae	HC01	1	2,427,149
SEQF2272		NCBI	HMT-591	Corynebacterium	diphtheriae	HC02	1	2,468,612
SEQF2273		NCBI	HMT-591	Corynebacterium	diphtheriae	HC03	1	2,478,364
SEQF2274		NCBI	HMT-591	Corynebacterium	diphtheriae	HC04	1	2,484,332
